Time,Current
23:19:07.359,15.53
23:19:07.420,9.53
23:19:07.490,15.53
23:19:07.552,16.43
23:19:07.613,9.00
23:19:07.683,9.00
23:19:07.744,15.00
23:19:07.815,9.30
23:19:07.876,9.23
23:19:07.947,15.38
23:19:08.008,9.38
23:19:08.078,9.30
23:19:08.139,15.30
23:19:08.211,9.38
23:19:08.271,9.30
23:19:08.332,15.08
23:19:08.403,9.38
23:19:08.464,9.30
23:19:08.534,20.03
23:19:08.595,10.88
23:19:08.667,8.93
23:19:08.727,9.90
23:19:08.798,14.40
23:19:08.859,9.23
23:19:08.930,9.23
23:19:08.990,15.38
23:19:09.052,9.30
23:19:09.123,9.23
23:19:09.183,15.53
23:19:09.254,9.30
23:19:09.315,9.23
23:19:09.386,15.38
23:19:09.447,9.30
23:19:09.518,9.23
23:19:09.578,23.02
23:19:09.649,8.78
23:19:09.710,9.00
23:19:09.770,15.38
23:19:09.842,9.08
23:19:09.902,9.08
23:19:09.973,15.08
23:19:10.034,9.23
23:19:10.105,9.08
23:19:10.166,15.23
23:19:10.237,9.30
23:19:10.297,9.23
23:19:10.368,15.23
23:19:10.430,9.30
23:19:10.490,9.23
23:19:10.561,15.53
23:19:10.622,16.73
23:19:10.693,8.78
23:19:10.754,15.08
23:19:10.825,9.08
23:19:10.886,9.08
23:19:10.956,15.23
23:19:11.018,9.30
23:19:11.088,9.23
23:19:11.149,15.30
23:19:11.210,9.30
23:19:11.280,9.23
23:19:11.341,15.38
23:19:11.412,9.30
23:19:11.473,9.23
23:19:11.544,15.30
23:19:11.605,9.23
23:19:11.676,29.18
23:19:11.737,24.30
23:19:11.798,4.43
23:19:11.869,4.43
23:19:11.929,9.98
23:19:12.000,11.63
23:19:12.061,4.50
23:19:12.132,4.50
23:19:12.193,10.43
23:19:12.264,4.50
23:19:12.324,4.50
23:19:12.395,10.50
23:19:12.456,4.50
23:19:12.527,4.50
23:19:12.588,10.88
23:19:12.649,4.50
23:19:12.719,4.50
23:19:12.780,10.28
23:19:12.851,5.03
23:19:12.912,4.50
23:19:12.983,6.53
23:19:13.043,8.70
23:19:13.114,4.50
23:19:13.175,4.58
23:19:13.245,10.50
23:19:13.306,4.50
23:19:13.377,4.50
23:19:13.438,10.73
23:19:13.499,4.50
23:19:13.570,4.50
23:19:13.630,10.73
23:19:13.702,4.50
23:19:13.763,4.50
23:19:13.833,10.73
23:19:13.894,4.50
23:19:13.965,4.50
23:19:14.025,10.73
23:19:14.097,4.50
23:19:14.157,4.50
23:19:14.218,10.43
23:19:14.289,4.50
23:19:14.350,4.50
23:19:14.420,10.43
23:19:14.482,4.50
23:19:14.553,4.50
23:19:14.613,10.43
23:19:14.684,4.50
23:19:14.745,4.50
23:19:14.815,10.80
23:19:14.877,4.50
23:19:14.937,4.50
23:19:15.008,10.73
23:19:15.069,4.50
23:19:15.140,4.50
23:19:15.201,10.80
23:19:15.272,4.50
23:19:15.332,4.50
23:19:15.403,10.73
23:19:15.464,4.50
23:19:15.535,4.50
23:19:15.596,10.73
23:19:15.657,4.50
23:19:15.727,4.50
23:19:15.788,10.73
23:19:15.859,4.50
23:19:15.920,4.50
23:19:15.991,10.73
23:19:16.052,4.50
23:19:16.123,4.50
23:19:16.183,10.50
23:19:16.255,4.73
23:19:16.315,4.50
23:19:16.386,6.83
23:19:16.447,8.33
23:19:16.507,9.68
23:19:16.578,9.08
23:19:16.638,14.93
23:19:16.710,9.23
23:19:16.770,9.08
23:19:16.841,15.08
23:19:16.902,9.08
23:19:16.973,9.08
23:19:17.034,15.38
23:19:17.105,9.08
23:19:17.165,9.08
23:19:17.236,15.23
23:19:17.297,9.23
23:19:17.358,9.08
23:19:17.428,15.38
23:19:17.489,9.23
23:19:17.561,16.58
23:19:17.622,14.93
23:19:17.693,9.00
23:19:17.753,9.00
23:19:17.824,15.23
23:19:17.885,9.08
23:19:17.946,9.08
23:19:18.017,15.30
23:19:18.078,9.23
23:19:18.149,9.08
23:19:18.209,15.30
23:19:18.281,9.23
23:19:18.341,9.08
23:19:18.412,15.00
23:19:18.473,9.08
23:19:18.544,9.30
23:19:18.604,21.98
23:19:18.665,8.78
23:19:18.736,8.93
23:19:18.797,14.93
23:19:18.868,9.08
23:19:18.928,9.08
23:19:18.999,15.23
23:19:19.061,9.23
23:19:19.131,9.08
23:19:19.192,15.30
23:19:19.263,9.23
23:19:19.323,9.08
23:19:19.394,15.23
23:19:19.456,9.23
23:19:19.516,9.08
23:19:19.587,16.13
23:19:19.648,12.60
23:19:19.719,9.00
23:19:19.780,12.23
23:19:19.851,11.70
23:19:19.912,9.23
23:19:19.983,9.53
23:19:20.044,14.78
23:19:20.105,9.08
23:19:20.175,9.00
23:19:20.236,15.30
23:19:20.307,9.08
23:19:20.368,9.08
23:19:20.439,15.30
23:19:20.500,9.08
23:19:20.571,9.08
23:19:20.631,20.40
23:19:20.703,11.10
23:19:20.764,8.93
23:19:20.824,14.78
23:19:20.895,9.00
